"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000254732.2",15.4111369583738,-6.56851166959882,1.12003508388573,-5.86455885543401,4.50328345504266e-09,6.63378685762334e-05
"ENSG00000288686.2",1.69815994135204,-23.9541905186506,4.03897832994648,-5.93075489933812,3.01545059466281e-09,6.63378685762334e-05
"ENSG00000288709.1",36.985344235793,22.99968134917,4.01365688450653,5.7303556360169,1.00220290698168e-08,9.84230068183143e-05
"ENSG00000259132.1",5.82704605637679,-22.3956839686879,4.01715421928219,-5.57501224652753,2.47512453075442e-08,0.000145844237850173
"ENSG00000275954.5",15.4692514486954,16.2037684404369,2.8955448373836,5.59610344527718,2.19222929134255e-08,0.000145844237850173
"ENSG00000269693.1",13.3238306817412,-21.9354219362586,4.01714528946837,-5.46045023409186,4.74928608999872e-08,0.000233205777972571
"ENSG00000142539.9",6.08333060030446,21.52269759853,4.01713053220596,5.35772921143069,8.42744193792109e-08,0.000275876993750035
"ENSG00000284554.2",17.5186486923778,21.6518113364654,4.01392910830065,5.39416884361267,6.88414622232685e-08,0.000275876993750035
"ENSG00000285952.1",0.281696907742183,-21.7274803009155,4.04022537371011,-5.37778918035042,7.540603775889e-08,0.000275876993750035
"ENSG00000285505.1",11.3317829558188,21.3362624529036,4.01496600496737,5.31418259245684,1.07137149970729e-07,0.000286952246585237
"ENSG00000289694.1",626.783557611801,-11.1850813451845,2.10327226441719,-5.31794268122672,1.04947116447765e-07,0.000286952246585237
"ENSG00000206737.1",157.550723082258,-9.13398001122697,1.77990346594499,-5.13172775152586,2.87094558490031e-07,0.000704864990186107
"ENSG00000174807.4",163.387882666332,1.58038997252089,0.314397558143588,5.02672470439199,4.9892778956153e-07,0.00113072388738937
"ENSG00000206047.3",1149.47115747822,-12.5764210665272,2.53035451017081,-4.97022097732787,6.68766381025424e-07,0.00140737107984079
"ENSG00000224610.2",22.2295530409467,2.67274167907855,0.543379260491321,4.91874069073205,8.71027667611521e-07,0.00171081447621137
"ENSG00000102271.14",3.14641739164725,-4.2534676530058,0.872923484207238,-4.87266951795743,1.10100313466171e-06,0.00202735964708771
"ENSG00000211611.2",9.17658832727667,3.93129778922622,0.81315414087243,4.83462801407903,1.33394840494085e-06,0.00231181105331573
"ENSG00000185760.18",232.686874842509,1.3938695389345,0.293664481378508,4.74646961863231,2.06997799668832e-06,0.00329390143625482
"ENSG00000207513.1",114.179362444648,-12.8143199286765,2.70274091855288,-4.74123133324138,2.12423213932664e-06,0.00329390143625482
"ENSG00000117461.15",124.746812265645,-0.991140776132955,0.214386664570512,-4.62314565189275,3.77964133176966e-06,0.00556778964582989
"ENSG00000186765.12",36.1633984938215,1.44155336476587,0.313316853920656,4.60094420943894,4.20580075930619e-06,0.00590053818907994
"ENSG00000243926.3",6.68142856445726,-2.82654872533968,0.631793286646437,-4.47385052212729,7.68234565686097e-06,0.0102880576246563
"ENSG00000133169.6",5.86858298597819,-5.33908346957793,1.19836330072227,-4.45531289748277,8.37709267728957e-06,0.0107306914981872
"ENSG00000175267.15",4.33124078513257,-4.43762941911957,1.01046040065714,-4.39169057613107,1.124726888562e-05,0.0138069598295057
"ENSG00000176083.18",211.186445733516,-1.59753516810822,0.365488013136924,-4.37096460263317,1.23698847221537e-05,0.0140169824493882
"ENSG00000177947.15",3.26174662393028,5.20477564645596,1.18949172837723,4.37562996218276,1.21082273289517e-05,0.0140169824493882
"ENSG00000173114.13",336.085674229454,1.51705535815266,0.352897065091816,4.29886079601699,1.71678252185603e-05,0.0187332765403416
"ENSG00000172554.12",24.0314182280557,1.90471219835282,0.443990220644926,4.28998682805692,1.78683715737382e-05,0.0188013558323384
"ENSG00000171227.7",4.3026727104755,5.12937891321212,1.21587789253842,4.21866286465936,2.45755421001377e-05,0.0248128926666229
"ENSG00000273026.1",3.94316954237396,-3.13109869045406,0.743303334989029,-4.21241038895685,2.52659961984484e-05,0.0248128926666229
"ENSG00000144290.17",252.490354121266,1.89805555229761,0.453832199576413,4.18228489311506,2.8859402016591e-05,0.0264737744368635
"ENSG00000175592.9",6.46158014210098,-3.41110387618813,0.815110365296386,-4.18483682874994,2.85371012754609e-05,0.0264737744368635
"ENSG00000182853.12",18.8318437922854,-2.50679834007424,0.600270354143603,-4.17611551656695,2.96529277176191e-05,0.0264737744368635
"ENSG00000066382.17",36.8559292928371,2.09127843018909,0.509687328574884,4.10306145149111,4.07718899720652e-05,0.0353300418340289
"ENSG00000260790.1",3.08898463227111,4.19421550713094,1.02515771337228,4.09128805492178,4.28983892167302e-05,0.0357880806958313
"ENSG00000266405.3",38.4578971847685,-1.15012720799582,0.281422519906696,-4.08683430301576,4.37299200682209e-05,0.0357880806958313
"ENSG00000265337.1",2.84726874240966,-4.33633952138514,1.07247414859414,-4.04330447225181,5.27031089921774e-05,0.0419659188412846
"ENSG00000105889.16",53.3949518470413,1.61995043292189,0.40217743588146,4.02794957745804,5.62654063103493e-05,0.0436234579135661
"ENSG00000075240.17",1491.39264411375,-0.581805196551723,0.144717170731656,-4.02029139742197,5.8126198987289e-05,0.0439106172965002
